Authors,Title,Journal,Abstract
"['Aurigemma NC', 'Koltun KJ', 'VanEvery H', 'Rogers CJ', 'De Souza MJ.']",Linking the Gut Microbiota to Bone Health in Anorexia Nervosa.,Curr Osteoporos Rep,"Purpose of review:
        
      
      The purpose of this review is to examine the anorexia nervosa-microbiota-bone relationship, offering a compilation of the relevant human and animal studies that may contribute to a more comprehensive understanding of potential mechanisms involved.
    


          Recent findings:
        
      
      Recent studies have implicated fermentation by-products of the gut microbiota in bone metabolism. Compromised bone health often accompanies anorexia nervosa due to energy deficiency and hypoestrogenism. The gut microbiome has been implicated as a link between these conditions and impaired bone growth phenotypes. Current research supports decrements in Firmicutes and short-chain fatty acids with increases in Methanobrevibacter smithii and Proteobacteria in anorexia nervosa. A potential mechanism for microbiome-regulated bone growth is through modulation of insulin-like growth factor-1. Future research should aim to examine short-chain fatty acids, probiotics, and prebiotics as alternative therapies to treat low bone density in anorexia nervosa."
"['Fazeli PK', 'Klibanski A.']",The paradox of marrow adipose tissue in anorexia nervosa.,Bone,"Anorexia nervosa (AN) is a psychiatric disorder characterized by inappropriate nutrient intake resulting in low body weight. Multiple hormonal adaptations facilitate decreased energy expenditure in this state of caloric deprivation including non-thyroidal illness syndrome, growth hormone resistance, and hypogonadotropic hypogonadism. Although these hormonal adaptations confer a survival advantage during periods of negative energy balance, they contribute to the long-term medical complications associated with AN, the most common of which is significant bone loss and an increased risk of fracture. In recent years, marrow adipose tissue (MAT) has emerged as an important potential determinant of the low bone mass state characteristic of AN. Unlike subcutaneous and visceral adipose tissue depots which are low in AN, MAT levels are paradoxically elevated and are inversely associated with BMD. In this review, we discuss what is known about MAT in AN and the proposed hormonal determinants of this adipose tissue depot."
"['Murray SB', 'Strober M', 'Craske MG', 'Griffiths S', 'Levinson CA', 'Strigo IA.']",Fear as a translational mechanism in the psychopathology of anorexia nervosa.,Neurosci Biobehav Rev,"Anorexia nervosa (AN) is an often chronic and potentially lethal psychiatric disorder, for which the precise etiology remains elusive. While current treatment outcomes are modest at best, it is thought that the identification of translational mechanisms driving the psychopathology of AN will assist in the development and optimization of novel treatments. AN is a disorder characterized by fear and avoidance, hypervigilant scrutiny of one's body, and an unnatural fear of weight gain. Moreover, a suite of anxious traits and regimentation of behavior are atypically common well in advance of the onset of restrictive eating in those with AN. Here we consider the promise of shedding light on causal mechanisms of AN by interrogating the role of fear-related learning, deficits in discriminating safety cues, and extinction of acquired fear. We offer a translational rationale for this line of inquiry, and discuss the clinical implications of considering fear as a translational mechanism in the psychopathology of AN."
"['Himmerich H', 'Treasure J.']",Psychopharmacological advances in eating disorders.,Expert Rev Clin Pharmacol,"Anorexia nervosa (AN), bulimia nervosa (BN) and binge eating disorder (BED) are the primary eating disorders (EDs). The only psychopharmacological treatment options for EDs with approval in some countries include fluoxetine for BN and lisdexamfetamine for BED. Given the high comorbidity and genetic correlations with other psychiatric disorders, it seems possible that novel medications for these conditions might also be effective in EDs. Areas covered: The current scientific literature has increased our understanding of how medication could be beneficial for patients with EDs on a molecular, functional and behavioral level. On the basis of theoretical considerations about neurotransmitters, hormones and neural circuits, possible drug targets for the treatment of EDs may include signal molecules and receptors of the self-regulatory system such as serotonin, norepinephrine and glutamate, the hedonic system including opioids, cannabinoids and dopamine and the hypothalamic homeostatic system including histamine, ghrelin, leptin, insulin, and glucagon-like peptide-1. Expert commentary: The latest research points to an involvement of both the immune and the metabolic systems in the pathophysiology of EDs and highlights the importance of the microbiome. Therefore, the next few years may unveil drug targets for EDs not just inside and outside of the brain, but possibly even outside of the human body."
"['Foldi CJ', 'Milton LK', 'Oldfield BJ.']",A focus on reward in anorexia nervosa through the lens of the activity-based anorexia rodent model.,J Neuroendocrinol,"Patients suffering anorexia nervosa (AN) become anhedonic, unable or unwilling to derive normal pleasures and tend to avoid rewarding outcomes, most profoundly in food intake. The activity-based anorexia model recapitulates many of the pathophysiological and behavioural hallmarks of the human condition, including a reduction in food intake, excessive exercise, dramatic weight loss, loss of reproductive cycles, hypothermia and anhedonia, and therefore it allows investigation into the underlying neurobiology of anorexia nervosa. The use of this model has directed attention to disruptions in central reward neurocircuitry, which may contribute to disease susceptibility. The purpose of this review is to demonstrate the utility of this unique model to provide insight into the mechanisms of reward relevant to feeding and weight loss, which may ultimately help to unravel the neurobiology of anorexia nervosa and, in a broader sense, the foundation of reward-based feeding."
['Young JK.'],Anorexia nervosa and estrogen: current status of the hypothesis.,Neurosci Biobehav Rev,"Anorexia nervosa occurs predominantly in young women. Also, recent data suggest that a heritable, genetic defect may contribute to this feeding disorder. These observations support the hypothesis that an inherited, abnormal response of the brain to rising levels of estrogens at puberty may contribute to the symptoms of weight loss in anorexia. To evaluate the merits of this hypothesis, the current literature on feeding depression by estrogens in anorexic patients and possible genetic or developmental mechanisms that could alter brain responsiveness to estrogens are reviewed. It is concluded that a number of specific biochemical or developmental pathways-abnormalities in the classical or membrane-bound forms of estrogen receptors, in co-activators for estrogen, in thyroxine receptors, in steroid metabolizing enzymes, in quantitative trait loci, in perinatal androgenization, and in processes of puberty-could converge to produce an abnormal response to estrogen and the onset of anorexia nervosa."
['Scolnick B.'],Ketogenic diet and anorexia nervosa.,Med Hypotheses,"This hypothesis suggest that starvation-induced ketosis, which leads to a fundamental biochemical change in the metabolic fuel supply of the brain, is uniquely anxiolytic and rewarding to patients prone to AN. Ketosis can easily be replicated by a unique diet marked by high fat, moderate protein, and very low carbohydrate. This diet, known as a ketogenic diet (KGD) mimics starvation, thus allowing the patient to experience the anxiolytic state of ketosis, and yet avoid the morbidity of starvation."
"['Ramoz N', 'Versini A', 'Gorwood P.']",Anorexia nervosa and estrogen receptors.,Vitam Horm,"Anorexia nervosa (AN) is a chronic psychiatric disorder with a high prevalence of 0.6% and the highest mortality rates among psychiatric diseases, around 10%, mostly due to undernutrition and suicide. AN is characterized by physiological features with a body mass index less than 17.5 kg/m(2), low bone mineral density and amenorrhea, psychological symptoms with a distortion of image body, and behavioral abnormalities. Estrogen molecules and estrogen biological pathway are clearly involved in food intake and body weight in animals and humans. Further, hypoestrogenism has been demonstrated in AN patients and convergent evidence involves the estrogen pathway in the development of AN. AN presents a high heritability and polymorphisms in genes coding the estrogen receptors alpha and beta have been found significantly associated with the disorder. This chapter shows the implication of estrogens in AN and suggests investigation to develop future pharmacological treatments for anorexia."
"['Hata T', 'Miyata N', 'Takakura S', 'Yoshihara K', 'Asano Y', 'Kimura-Todani T', 'Yamashita M', 'Zhang XT', 'Watanabe N', 'Mikami K', 'Koga Y', 'Sudo N.']",The Gut Microbiome Derived From Anorexia Nervosa Patients Impairs Weight Gain and Behavioral Performance in Female Mice.,Endocrinology,"Anorexia nervosa (AN) results in gut dysbiosis, but whether the dysbiosis contributes to AN-specific pathologies such as poor weight gain and neuropsychiatric abnormalities remains unclear. To address this, germ-free mice were reconstituted with the microbiota of four patients with restricting-type AN (gAN mice) and four healthy control individuals (gHC mice). The effects of gut microbes on weight gain and behavioral characteristics were examined. Fecal microbial profiles in recipient gnotobiotic mice were clustered with those of the human donors. Compared with gHC mice, gAN mice showed a decrease in body weight gain, concomitant with reduced food intake. Food efficiency ratio (body weight gain/food intake) was also significantly lower in gAN mice than in gHC mice, suggesting that decreased appetite as well as the capacity to convert ingested food to unit of body substance may contribute to poor weight gain. Both anxiety-related behavior measured by open-field tests and compulsive behavior measured by a marble-burying test were increased only in gAN mice but not in gHC mice. Serotonin levels in the brain stem of gAN mice were lower than those in the brain stem of gHC mice. Moreover, the genus Bacteroides showed the highest correlation with the number of buried marbles among all genera identified. Administration of Bacteroides vulgatus reversed compulsive behavior but failed to exert any substantial effect on body weight. Collectively, these results indicate that AN-specific dysbiosis may contribute to both poor weight gain and mental disorders in patients with AN."
"['Seitz J', 'Konrad K', 'Herpertz-Dahlmann B.']","Extend, Pathomechanism and Clinical Consequences of Brain Volume Changes in Anorexia Nervosa.",Curr Neuropharmacol,"Introduction:
        
      
      Brain volume deficits of grey matter (GM) and white matter (WM) are often found in patients with anorexia nervosa (AN). However, until recently, little was known about the influencing factors of these brain volume alterations, nor their exact quantification and rehabilitation.
    


          Methods:
        
      
      This review addresses these open questions and further explores what is now known about the underlying pathobiology and the clinical consequences including human studies as well as animal studies mimicking anorexia nervosa in rodents.
    


          Results:
        
      
      GM was reduced by 3.7% in adults and 7.6% in adolescents with AN. WM was reduced on average 2.2% in adult patients and 3.2% in adolescents. Most volume deficits in adults are reversible after long-term recovery; for adolescents, data are less clear. The main influencing factors for GM were absolute lowest weight at admission and illness duration. Cerebellar and WM reductions at admission predicted clinical outcome at one year follow-up. New studies found GABA receptor changes in GM and astrocyte loss in both GM and WM, as well as a possible role for oestrogen deficit. All three could partly explain clinical symptoms of anxiety, rigidity and learning impairments in patients with AN.
    


          Conclusion:
        
      
      Brain volume deficits in AN seem to play a causal role in the course and the prognosis of AN. A better understanding of these brain changes could lead to more targeted therapies for patients with AN, including astrocyte-directed approaches."
"['Lee WC', 'Guntur AR', 'Long F', 'Rosen CJ.']",Energy Metabolism of the Osteoblast: Implications for Osteoporosis.,Endocr Rev,"Osteoblasts, the bone-forming cells of the remodeling unit, are essential for growth and maintenance of the skeleton. Clinical disorders of substrate availability (e.g., diabetes mellitus, anorexia nervosa, and aging) cause osteoblast dysfunction, ultimately leading to skeletal fragility and osteoporotic fractures. Conversely, anabolic treatments for osteoporosis enhance the work of the osteoblast by altering osteoblast metabolism. Emerging evidence supports glycolysis as the major metabolic pathway to meet ATP demand during osteoblast differentiation. Glut1 and Glut3 are the principal transporters of glucose in osteoblasts, although Glut4 has also been implicated. Wnt signaling induces osteoblast differentiation and activates glycolysis through mammalian target of rapamycin, whereas parathyroid hormone stimulates glycolysis through induction of insulin-like growth factor-I. Glutamine is an alternate fuel source for osteogenesis via the tricarboxylic acid cycle, and fatty acids can be metabolized to generate ATP via oxidative phosphorylation although temporal specificity has not been established. More studies with new model systems are needed to fully understand how the osteoblast utilizes fuel substrates in health and disease and how that impacts metabolic bone diseases."
"['Clarke TK', 'Weiss AR', 'Berrettini WH.']",The genetics of anorexia nervosa.,Clin Pharmacol Ther,"Anorexia nervosa (AN) is a disease defined by inappropriate weight loss and maintenance of body weight <85% of that expected for weight and height; it is most common in adolescent women aged 15-19 years. Numerous studies have highlighted the familial aggregation of the disease, suggesting a significant genetic component to its etiology. The purpose of this review is to discuss the different fields of genetic research--both in humans and animals--that have contributed to the understanding of this complex disorder. Candidate gene studies focusing on genes involved in the hypothalamic control of appetite and energy regulation have found genetic risk variants that increase risk for AN. A recent genome-wide association study has highlighted novel loci for further investigation in AN. Animal models and epigenetic studies are also considered; the most recent advances in each field and their contributions to the understanding of AN are emphasized."
"['Guarda AS', 'Schreyer CC', 'Boersma GJ', 'Tamashiro KL', 'Moran TH.']","Anorexia nervosa as a motivated behavior: Relevance of anxiety, stress, fear and learning.",Physiol Behav,"The high comorbidity between anorexia nervosa (AN) and anxiety disorders is well recognized. AN is a motivated behavioral disorder in which habit formation is likely to contribute to the persistence of abnormal eating and exercise behaviors. Secondary alterations in brain circuitry underlying the reward value of food and exercise, along with disturbances in neuroendocrine hunger and satiety signaling arising from starvation and excessive exercise, are likely contributors to the maintenance of anorectic behaviors in genetically vulnerable individuals. The potential role of fear conditioning in facilitating onset of AN, or of impaired fear extinction in contributing to the high relapse rates observed following weight restoration, is of interest. Evidence from animal models of anxiety and human laboratory studies indicate that low estrogen impairs fear extinction. Low estradiol levels in AN may therefore play a role in perpetuating fear of food and fat in recently weight restored patients. Translational models including the activity based anorexia (ABA) rodent model of AN, and neuroimaging studies of fear extinction and conditioning, could help clarify the underlying molecular mechanisms and neurocircuitry involved in food avoidance behaviors in AN. Moreover, the adaptation of novel treatment interventions with efficacy in anxiety disorders may contribute to the development of new treatments for this impairing disorder."
"['Viltart O', 'Duriez P', 'Tolle V.']",Metabolic and neuroendocrine adaptations to undernutrition in anorexia nervosa: from a clinical to a basic research point of view.,Horm Mol Biol Clin Investig,"The exact mechanisms linking metabolic and neuroendocrine adaptations to undernutrition and the pathophysiology of anorexia nervosa (AN) are not fully understood. AN is a psychiatric disorder of complex etiology characterized by extreme starvation while the disease is progressing into a chronic state. Metabolic and endocrine alterations associated to this disorder are part of a powerful response to maintain whole body energy homeostasis. But these modifications may also contribute to associated neuropsychiatric symptoms (reward abnormalities, anxiety, depression) and thus participate to sustain the disease. The current review presents data with both a clinical and basic research point of view on the role of nutritional and energy sensors with neuroendocrine actions in the pathophysiology of the disease, as they modulate metabolic responses, reproductive functions, stress responses as well as physical activity. While clinical data present a full description of changes occurring in AN, animal models that integrate either spontaneous genetic mutations or experimentally-induced food restriction with hyperactivity and/or social stress recapitulate the main metabolic and endocrine alterations of AN and provide mechanistic information between undernutrition state and symptoms of the disease. Further progress on the central and peripheral mechanism involved in the pathophysiology of eating disorders partly relies on the development and/or refinement of existing animal models to include recently identified genetic traits and better mimic the complex and multifactorial dimensions of the disease."
"['Nazari S', 'Rameshrad M', 'Hosseinzadeh H.']",Toxicological Effects of Glycyrrhiza glabra (Licorice): A Review.,Phytother Res,"Licorice (Glycyrrhiza glabra) has been considered as an herbal drug since ancient time. Nowadays, it is a well-known spice that possesses worth pharmacological effects. However, some relevant articles have revealed negative impacts of licorice in health. By considering the great wishes in using herbal medicine, it is important to show adverse effects of herbal medicine in health. At present, there are misunderstandings toward the safety of herbal medicines. Herein, we gathered scientific research projects on the toxicity effects of licorice and glycyrrhizin to highlight their safety. In this regards, we categorized our findings about the toxicity effects of licorice and glycyrrhizin in acute, sub-acute, sub-chronic, and chronic states. Besides, we discussed on the cytotoxicity, genotoxicity, mutagenicity, and carcinogenicity of licorice and glycyrrhizin as well as their developmental toxicity. This review disclosed that G. glabra and glycyrrhizin salts are moderately toxic. They need to be used with caution during pregnancy. G. glabra and glycyrrhizin possess selective cytotoxic effects on cancerous cells. The most important side effects of licorice and glycyrrhizin are hypertension and hypokalemic-induced secondary disorders. Licorice side effects are increased by hypokalemia, prolonged gastrointestinal transient time, decreased type 2 11-beta-hydroxysteroid dehydrogenase activities, hypertension, anorexia nervosa, old age, and female sex. Copyright © 2017 John Wiley & Sons, Ltd."
['Scolnick B.'],Antihistamine agents and pitolisant might be useful for anorexia nervosa.,Med Hypotheses,"This hypothesis is that patients with anorexia nervosa (AN) demonstrate derangement in the histamine central nervous system. It might be possible to ameliorate these by careful use of histamine receptor antagonists targeting Histamine 1, 2, or 3 receptors. Histamine 3 receptors are exclusively present in the brain. Pitolisant is the only one agent currently available that targets these receptors. Pitolisant (brand name Wakix) was approved in the European Union, as a treatment for narcolepsy in March 2016."
"['Södersten P', 'Bergh C', 'Ammar A.']",Anorexia nervosa: towards a neurobiologically based therapy.,Eur J Pharmacol,"Eating disorders, i.e. anorexia and bulimia nervosa, are disorders of eating behavior and body weight regulation. Most likely because there are few, if any, effective treatments, eating disorders are considered to be chronic disorders interrupted only by intermittent periods of short-lived remission. The neurobiology of eating, most of which explores hypothalamic mechanisms, has had no influence on the treatment of eating disorders, with the exception of psychopharmacology. However, while most patients are treated with psychoactive drugs, there is no evidence that these are effective. This may be because pharmacological attempts so far have targeted the wrong symptoms. We review the symptomatology of anorexia and bulimia and the outcome of presently used interventions. Everybody agrees that outcome must improve and to attack this clinical problem, we suggest a neurobiologically plausible framework for how the disorders develop and how they are maintained and outline a method of treatment and its results."
['Kim SS.'],Role of fluoxetine in anorexia nervosa.,Ann Pharmacother,"Objective:
        
      
      To evaluate the efficacy of fluoxetine in the treatment of anorexia nervosa.
    


          Data sources:
        
      
      Literature obtained through searching MEDLINE (1966-January 2003).
    


          Data synthesis:
        
      
      Studies conducted on the efficacy of fluoxetine in treating anorexia nervosa have conflicting results. Study design and methodology should be carefully evaluated.
    


          Conclusions:
        
      
      Fluoxetine played a role in the reduction of symptoms of obsessive-compulsive disorder and depression in anorexic patients. While psychotherapy, nutritional therapy, and behavioral therapy should be the mainstays of treatment, fluoxetine should be considered as an option to prevent relapse or to treat associated symptoms of anorexia nervosa following adequate weight restoration as a part of maintenance therapy and not as a primary or acute therapy. Although fluoxetine appears to be promising for the treatment of patients with anorexia nervosa, further studies need to be performed with a larger sample size and/or better design."
"['Shih PB', 'Morisseau C', 'Le T', 'Woodside B', 'German JB.']",Personalized polyunsaturated fatty acids as a potential adjunctive treatment for anorexia nervosa.,Prostaglandins Other Lipid Mediat,"Anorexia nervosa (AN) is a complex psychiatric disorder with high morbidity and mortality rates. While many individuals make full recoveries, up to a third of patients develop a chronic, treatment-resistant form of the illness that leads to a premature death in 15-20% of those affected. There have been few advances in treatment, both in terms of psychological or pharmacologic treatment over the last 30 years. Food aversion is commonly cited by patients with AN as a barrier to normalizing eating and weight. Our group has a keen interest in examining factors that might allow this to be addressed, thus improving treatment outcomes through personalized dietary plans or nutritional supplementation related to underlying genetic status. We demonstrated that polyunsaturated fatty acids (PUFAs)-derived bioactive lipids (eicosanoids) are implicated in not only the risk of AN, but also with its comorbid psychopathology. Of interest, the differential postprandial omega 6-derived eicosanoid shift observed in AN highlights the possibility that the metabolism of PUFAs is an important mechanism underlying the profound food version, contributing to pathological food restriction in AN. A concise knowledge of the relationships among PUFAs, eicosanoids, and AN clinical course and psychopathology could be the key to developing personalized nutritional rehabilitative treatments for those suffering from AN. This paper provides a comprehensive overview of the literature on PUFAs in AN. We also selectively reviewed the clinical benefits PUFA treatments exert in other psychiatric diseases, on weight and appetite regulation, and for resolution of inflammation, all of which are relevant in the disease course and outcome of AN. We propose that personalized PUFA formulation be developed and tested as a novel adjunctive treatment for patients with AN. We hypothesize that with personalized PUFA formulation, food aversion and anxiety about eating will decrease while mood, dietary behavior, and weight restoration will improve in AN, leading to improvements in the overall treatment outcome."
"['Maguire S', ""O'Dell A"", 'Touyz L', 'Russell J.']",Oxytocin and anorexia nervosa: a review of the emerging literature.,Eur Eat Disord Rev,"Anorexia nervosa (AN) is an intractable illness that is difficult to treat. The identification of neural correlates and novel agents to transform treatment has become priority avenues for research. Oxytocin (OT) is a neuropeptide whose emerging sphere of influence on mammalian behaviour and demonstrated impact on psychiatric illness suggest it may have potential in AN. In this paper, we undertake a targeted summary of the existing literature on OT research as it pertains to brain based behaviour and psychiatric dysfunction. Then, we conduct a systematic review of OT in AN. Papers that addressed any aspect of the OT system in AN were examined. The existing literature, although limited and based on small sample sizes, suggests a derangement of the OT system in AN that may normalise upon recovery. Preliminary pilot data from unpublished studies suggest a potential effect of OT administration on eating-related indices."
